id,latitude,longitude,room_type,first_year,last_year
27886,52.38761,4.89188,Private room,2012.0,2025.0
28871,52.36775,4.89092,Private room,2010.0,2025.0
29051,52.36584,4.89111,Private room,2011.0,2025.0
44391,52.37168,4.91471,Entire home/apt,2010.0,2022.0
48373,52.32780775677816,4.87680005722526,Entire home/apt,2023.0,2024.0
49552,52.38028,4.89089,Entire home/apt,2010.0,2025.0
50263,52.36937805386749,4.929579192438728,Entire home/apt,2010.0,2025.0
50515,52.37559,4.83857,Entire home/apt,2014.0,2025.0
50523,52.36959,4.88423,Entire home/apt,2011.0,2025.0
53921,52.35559,5.0032,Entire home/apt,2018.0,2024.0
55709,52.358112,4.897637,Entire home/apt,2010.0,2025.0
55868,52.35597,4.88512,Entire home/apt,2011.0,2023.0
62015,52.36431,4.93122,Entire home/apt,2011.0,2024.0
80635,52.37828,4.8944,Private room,2011.0,2022.0
91535,52.35774,4.89647,Private room,2011.0,2025.0
97221,52.34801,4.83639,Private room,2011.0,2025.0
137026,52.35178,4.90699,Entire home/apt,2012.0,2025.0
155548,52.3642,4.92829,Entire home/apt,2011.0,2019.0
158633,52.39364,4.94538,Entire home/apt,2011.0,2025.0
168769,52.37956,4.89359,Private room,2011.0,2022.0
171054,52.36768,4.86646,Entire home/apt,2011.0,2018.0
179528,52.34332,4.89484,Entire home/apt,2011.0,2025.0
188347,52.3683,4.85446,Private room,2011.0,2025.0
189754,52.37548,4.89398,Entire home/apt,2011.0,2025.0
190943,52.35222,4.84789,Entire home/apt,2012.0,2024.0
193038,52.36057,4.89671,Private room,2011.0,2025.0
212050,52.36698,4.86622,Entire home/apt,2011.0,2024.0
213371,52.3515,4.89656,Entire home/apt,2011.0,2023.0
214531,52.37169,4.89446,Private room,2011.0,2022.0
219276,52.36786,4.88949,Private room,2012.0,2022.0
245927,52.36897659301758,4.887128829956055,Entire home/apt,2012.0,2025.0
247805,52.36707,4.87348,Private room,2011.0,2025.0
252080,52.37077,4.90927,Entire home/apt,2012.0,2025.0
254104,52.364898681640625,4.9091691970825195,Private room,2015.0,2025.0
254800,52.37122,4.88211,Entire home/apt,2013.0,2022.0
255809,52.34416,4.88709,Private room,2012.0,2025.0
256670,52.35861,4.86023,Entire home/apt,2013.0,2025.0
262394,52.35695,4.85234,Private room,2012.0,2019.0
274706,52.36563,4.88454,Entire home/apt,2012.0,2023.0
283170,52.35435,4.87316,Entire home/apt,2012.0,2025.0
286500,52.37561,4.9,Private room,2012.0,2025.0
290701,52.37561,4.9,Private room,2012.0,2025.0
291752,52.35143,4.91272,Private room,2012.0,2025.0
304082,52.37046,4.89712,Entire home/apt,2012.0,2025.0
306852,52.35931,4.89844,Entire home/apt,2012.0,2023.0
307497,52.3933,4.88556,Entire home/apt,2012.0,2024.0
307621,52.35871,4.89616,Entire home/apt,2013.0,2023.0
308028,52.35972,4.8975,Private room,2014.0,2023.0
311124,52.37104,4.87713,Entire home/apt,2012.0,2025.0
327285,52.35625,4.89323,Private room,2012.0,2025.0
331946,52.3606,4.85739,Entire home/apt,2013.0,2025.0
343094,52.35715,4.90926,Private room,2012.0,2025.0
357980,52.36348,4.87648,Entire home/apt,2012.0,2025.0
359298,52.36217,4.91152,Entire home/apt,2012.0,2025.0
