id,latitude,longitude,room_type,first_year,last_year
147275,41.42337,2.1749,Private room,2015.0,2025.0
171816,41.40681,2.18553,Entire home/apt,2018.0,2025.0
174382,41.40653,2.17455,Entire home/apt,2015.0,2025.0
190348,41.38893,2.12443,Private room,2016.0,2016.0
234375,41.39970016479492,2.1748878955841064,Entire home/apt,2017.0,2025.0
253030,41.41508,2.18857,Private room,2023.0,2023.0
268022,41.39184,2.17146,Entire home/apt,2017.0,2025.0
269467,41.40181,2.1761,Entire home/apt,2018.0,2025.0
343861,41.39993,2.16536,Entire home/apt,2015.0,2025.0
370665,41.38545,2.18117,Entire home/apt,2022.0,2024.0
457195,41.39195,2.1714,Entire home/apt,2016.0,2023.0
472062,41.39822,2.16081,Entire home/apt,2016.0,2025.0
473395,41.39871,2.15292,Entire home/apt,2015.0,2025.0
473459,41.3990403,2.1527793,Entire home/apt,2016.0,2025.0
481739,41.39696,2.16652,Entire home/apt,2016.0,2025.0
490517,41.40385,2.1691,Entire home/apt,2016.0,2025.0
490803,41.40347,2.17157,Entire home/apt,2015.0,2025.0
503765,41.39795,2.17166,Entire home/apt,2015.0,2025.0
548052,41.40263,2.17072,Entire home/apt,2018.0,2019.0
556572,41.4091495,2.1756861,Private room,2025.0,2025.0
576046,41.40315,2.18462,Private room,2016.0,2025.0
585762,41.39401,2.17159,Entire home/apt,2016.0,2025.0
619728,41.40118,2.17793,Entire home/apt,2015.0,2025.0
621656,41.37206,2.14117,Private room,2015.0,2025.0
642491,41.37606,2.12222,Entire home/apt,2019.0,2025.0
677012,41.40853,2.1493,Private room,2015.0,2019.0
684639,41.38584,2.14458,Private room,2023.0,2025.0
684643,41.38527512062284,2.1469959661827978,Private room,2019.0,2025.0
688295,41.43212,2.17242,Private room,2018.0,2020.0
688527,41.40924,2.20118,Entire home/apt,2015.0,2025.0
699920,41.38734,2.16448,Entire home/apt,2015.0,2025.0
700150,41.38686,2.16449,Entire home/apt,2015.0,2025.0
