id,latitude,longitude,room_type,first_year,last_year
9991,52.53269,13.41805,Entire home/apt,2015.0,2020.0
34854,52.49546,13.30858,Entire home/apt,2024.0,2025.0
37554,52.50906,13.39374,Entire home/apt,2016.0,2018.0
69780,52.5488,13.40425,Entire home/apt,2023.0,2024.0
85560,52.53036,13.38137,Entire home/apt,2015.0,2025.0
128827,52.50894,13.46075,Entire home/apt,2015.0,2023.0
151249,52.49681,13.41758,Entire home/apt,2016.0,2025.0
198584,52.49713,13.32525,Private room,2015.0,2020.0
205296,52.41363,13.50172,Entire home/apt,2019.0,2021.0
207740,52.50035,13.43736,Entire home/apt,2017.0,2019.0
212470,52.49757,13.38215,Private room,2018.0,2019.0
237670,52.44127,13.46116,Entire home/apt,2015.0,2025.0
242908,52.41643,13.16445,Entire home/apt,2022.0,2025.0
242927,52.41618,13.16461,Entire home/apt,2018.0,2021.0
243057,52.53094,13.33453,Entire home/apt,2015.0,2025.0
243238,52.44612,13.49829,Entire home/apt,2015.0,2025.0
250729,52.47013,13.34851,Entire home/apt,2017.0,2025.0
250753,52.49953,13.36546,Entire home/apt,2017.0,2025.0
251984,52.5008,13.38847,Private room,2016.0,2025.0
265389,52.50977,13.44602,Private room,2016.0,2025.0
265394,52.50977,13.44602,Private room,2015.0,2025.0
265402,52.50977,13.44602,Shared room,2015.0,2025.0
269455,52.49667,13.40044,Entire home/apt,2018.0,2018.0
345373,52.51837,13.31841,Entire home/apt,2015.0,2025.0
421236,52.43663,13.21023,Entire home/apt,2015.0,2025.0
425411,52.52971,13.38907,Entire home/apt,2016.0,2025.0
432210,52.49889,13.43425,Entire home/apt,2023.0,2024.0
453070,52.48845,13.39543,Private room,2016.0,2016.0
493539,52.5151,13.41369,Entire home/apt,2015.0,2020.0
496570,52.53593,13.38122,Entire home/apt,2024.0,2025.0
523052,52.43286,13.70843,Entire home/apt,2016.0,2022.0
573259,52.52358,13.34047,Private room,2015.0,2024.0
594032,52.49739,13.30231,Entire home/apt,2016.0,2025.0
667899,52.48254,13.43939,Private room,2015.0,2016.0
777993,52.44637,13.44797,Entire home/apt,2015.0,2025.0
795924,52.54266,13.41643,Entire home/apt,2019.0,2019.0
861698,52.55218,13.40415,Entire home/apt,2017.0,2020.0
868206,52.52242,13.33317,Private room,2015.0,2025.0
880250,52.50865,13.24357,Entire home/apt,2015.0,2025.0
922815,52.47084644080307,13.30977998859106,Entire home/apt,2025.0,2025.0
938661,52.50966,13.29663,Private room,2015.0,2019.0
977063,52.49213,13.36894,Private room,2017.0,2018.0
993985,52.48648,13.35029,Private room,2016.0,2025.0
1018784,52.53798,13.42285,Entire home/apt,2015.0,2023.0
1032446,52.4338,13.55078,Private room,2015.0,2025.0
1052235,52.52537,13.63342,Private room,2017.0,2025.0
1062210,52.5475,13.40584,Entire home/apt,2023.0,2025.0
1084183,52.50059,13.34231,Private room,2015.0,2025.0
1125176,52.48021,13.31437,Private room,2015.0,2018.0
1172856,52.52725,13.39153,Private room,2015.0,2025.0
1227566,52.56467,13.39204,Entire home/apt,2015.0,2025.0
1255664,52.5157,13.30468,Entire home/apt,2016.0,2019.0
1255842,52.52403,13.44403,Entire home/apt,2023.0,2024.0
1275721,52.489639,13.31773,Entire home/apt,2016.0,2025.0
1296135,52.49004,13.31539,Entire home/apt,2016.0,2016.0
1339065,52.53746,13.43757,Entire home/apt,2016.0,2019.0
1350644,52.54475,13.365,Entire home/apt,2017.0,2025.0
1419206,52.55823,13.40913,Private room,2015.0,2023.0
1433334,52.4926,13.39603,Private room,2016.0,2016.0
1440278,52.49822,13.47007,Entire home/apt,2017.0,2025.0
1466154,52.48902,13.39175,Entire home/apt,2016.0,2017.0
1479117,52.54971,13.35013,Entire home/apt,2015.0,2025.0
