name,latitude,longitude,room_type,price
"Romantic, stylish B&B houseboat in canal district",52.38761,4.89188,Private room,132.0
Comfortable double room,52.36775,4.89092,Private room,89.0
Comfortable single / double room,52.36584,4.89111,Private room,61.0
Quiet 2-bedroom Amsterdam city centre apartment,52.37168,4.91471,Entire home/apt,
Cozy family home in Amsterdam South,52.32780775677816,4.87680005722526,Entire home/apt,
Multatuli Luxury Guest Suite in top location,52.38028,4.89089,Entire home/apt,322.0
Central de Lux 2 bedrooms (4p) apt 125 sqm,52.36937805386749,4.929579192438728,Entire home/apt,457.0
"Family Home (No drugs, smoking or parties)",52.37559,4.83857,Entire home/apt,198.0
B & B de 9 Straatjes (city center),52.36959,4.88423,Entire home/apt,162.0
Amsterdam Stylish Lakeview Apartment,52.35559,5.0032,Entire home/apt,
Bright Loft in Centre Amsterdam,52.358112,4.897637,Entire home/apt,
Apartment near Museumplein (centre),52.35597,4.88512,Entire home/apt,
"Charming, beautifully & sunny place",52.36431,4.93122,Entire home/apt,
TOP LOCATED Canalhouse B&B Jordaan,52.37828,4.8944,Private room,
"Privat room and shared Houseboat ""Ramona"" centre",52.35774,4.89647,Private room,
Beautiful and spacious room,52.34801,4.83639,Private room,68.0
Charming Historic House with Garden in De Pijp,52.35178,4.90699,Entire home/apt,335.0
Apartment 2 minutes from Centrum!,52.3642,4.92829,Entire home/apt,
"Typical Dutch house, quiet area, close to centre",52.39364,4.94538,Entire home/apt,
"SUPERLOCATED Room in  CANALHOUSE, Private bath",52.37956,4.89359,Private room,
Spacious apartment next to center,52.36768,4.86646,Entire home/apt,
Authentic Amsterdam Apartment RAI,52.34332,4.89484,Entire home/apt,301.0
"Cozy, Central Room in Amsterdam",52.3683,4.85446,Private room,68.0
Metropolitan B&B centre Amsterdam,52.37548,4.89398,Entire home/apt,231.0
Lovely light appartment with garden,52.35222,4.84789,Entire home/apt,
Private Loft&Bathroom  Ensuite Studio Ctr Amsterda,52.36057,4.89671,Private room,158.0
Spacious home w roof garden,52.36698,4.86622,Entire home/apt,
Spacious apartment in De Pijp,52.3515,4.89656,Entire home/apt,
LUXURIOUS GUESTHOUSE in CITY CENTER,52.37169,4.89446,Private room,
Suite in Canalhouse in the heart of the center,52.36786,4.88949,Private room,
Sonnenberg - Canal side & view - Private & Central,52.36897659301758,4.887128829956055,Entire home/apt,635.0
"Bellavista, central,with canal view",52.36707,4.87348,Private room,117.0
Amazing 200 m2 apartment historical centre,52.37077,4.90927,Entire home/apt,
The Flying Pancake B&B Amsterdam,52.36489868164063,4.90916919708252,Private room,185.0
Amazing apartment in city center,52.37122,4.88211,Entire home/apt,
Stylish apartment with free carpark,52.34416,4.88709,Private room,279.0
Beautifully renovated family apartment,52.35861,4.86023,Entire home/apt,
Charming Studio with Roof Terrace,52.35695,4.85234,Private room,
Beautiful central & quiet apartment,52.36563,4.88454,Entire home/apt,
5-bedrooms house; central location; free parking,52.35435,4.87316,Entire home/apt,1036.0
"Centre, canal view with private bathroom",52.37561,4.9,Private room,184.0
"Central, big window, rear room with private bath.",52.37561,4.9,Private room,184.0
Cozy & large bohemian style room,52.35143,4.91272,Private room,141.0
"Private, quiet studio in the centre with terrace",52.37046,4.89712,Entire home/apt,185.0
"SunShine, A Sunny Amsterdam Center Special",52.35931,4.89844,Entire home/apt,200.0
Historical sailing ship Monnickendam and Amsterdam,52.3933,4.88556,Entire home/apt,948.0
