name,latitude,longitude,room_type,price
Huge flat for 8 people close to Sagrada Familia,41.40556,2.17262,Entire home/apt,210.0
"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",41.41243172529066,2.219750335269476,Entire home/apt,285.0
Sagrada Familia area - Còrsega 1,41.40566,2.17015,Entire home/apt,170.0
Stylish Top Floor Apartment - Ramblas Plaza Real,41.38062,2.17517,Entire home/apt,110.0
VIDRE HOME PLAZA REAL on LAS RAMBLAS,41.37978,2.17623,Entire home/apt,333.0
In front of the beach,41.38043,2.19094,Private room,
Soho Colonial Eclectic Apartment,41.39631,2.16832,Entire home/apt,204.0
Sagrada Familia area - Còrsega 2,41.4057,2.17016,Entire home/apt,170.0
Spacious 2 bedroom flat special offer 40% OFF,41.3806,2.17796,Entire home/apt,128.0
Charming apartment with fantastic views!,41.41841,2.13307,Entire home/apt,315.0
Best deals for penthouse near Sagrada Familia!,41.39705,2.17469,Entire home/apt,199.0
Long term entire months more than 32 nitghts,41.38174,2.16663,Entire home/apt,70.0
Lugaris Beach Business Apartment,41.39909,2.20733,Entire home/apt,272.0
Sagrada Familia Clot Patio - Wifi/Private/Clean,41.40682,2.18649,Entire home/apt,153.0
Parc Montjuic HUTB-004026 58,41.37371,2.16706,Entire home/apt,126.0
★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,41.38237,2.16146,Private room,82.0
Modernist aparment in the heart of the city,41.39224,2.17806,Entire home/apt,180.0
002. Alió 2 Apartment,41.40271,2.16646,Entire home/apt,94.0
Design Apartment Sagrada Familia / Shared Terrace,41.40653,2.1746,Entire home/apt,437.0
Safe Haven in Sants: Peaceful Retreat in Barcelona,41.37155,2.13664,Entire home/apt,140.0
Poble Nou Apartment a 3 minutos de la Playa,41.39787,2.20429,Entire home/apt,175.0
"double Room -UPC, ESADE, Barça, Real Club Tennis",41.38832,2.12201,Private room,45.0
★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,41.38189,2.15857,Private room,81.0
1 Room INDIVIDUAL in Barcelona,41.42337,2.1749,Private room,17.0
Sagrada Familia Clot Atico - Wifi/Private/Clean,41.40671,2.18592,Entire home/apt,154.0
Sagrada Familia Clot Vista - Wifi/Private/Clean,41.40681,2.18553,Entire home/apt,154.0
Classic Flat near Sagrada Familia / Shared terrace,41.40653,2.17455,Entire home/apt,319.0
"Céntric, Balconies & City view- Feel Heart of BCN",41.39316177368164,2.175757884979248,Entire home/apt,339.0
Apartment with large terrace,41.38893,2.12443,Private room,
"Large patio, 4 baths (3 en-suite), 19th c, central",41.38842,2.16108,Entire home/apt,463.0
Cozy Studio in Gracia Neighborhood,41.40661,2.15115,Entire home/apt,41.0
STUNNING sea view + pool Barcelona!,41.40805,2.21487,Entire home/apt,500.0
Amazing Loft in BCN Center,41.39877,2.15887,Entire home/apt,191.0
"Bright, comfy, central and with character",41.3724,2.1648,Entire home/apt,156.0
Sweet Apartment in Gràcia district!,41.398,2.1553,Entire home/apt,129.0
"2BR Apartment, loft style with patio",41.37364,2.13906,Entire home/apt,
ATTIC VIEWS  (Sagrada Familia),41.39970016479492,2.1748878955841064,Entire home/apt,236.0
Bohemian Apartment With A Tune In Ramblas Area,41.37918,2.17733,Entire home/apt,101.0
BARCELONETA A · Barceloneta Beach Apartment SEASON,41.38113,2.18897,Entire home/apt,92.0
Nice apartment in Barcelona,41.41626,2.20149,Entire home/apt,257.0
Double room with private bath and parking,41.41508,2.18857,Private room,
Lightly apartment with balcony to Las Ramblas,41.3817,2.17195,Entire home/apt,50.0
room in cosy flat....,41.413368225097656,2.138876914978028,Private room,30.0
Beach room amazing view in center,41.37722,2.18944,Private room,60.0
Sweett | Midtown Mir,41.39268,2.17214,Entire home/apt,365.0
Sweett | Midtown Rusinyol,41.39184,2.17146,Entire home/apt,423.0
Sunny and quiet Loft next to Sagrada Familia,41.40181,2.1761,Entire home/apt,170.0
"CHARMING, VERY SPACIOUS & BEST LOCATED",41.38347,2.15802,Entire home/apt,
Confortable and very well located,41.3778,2.1582,Entire home/apt,156.0
Oriental Design apartment,41.3895,2.15769,Entire home/apt,208.0
Stylish central duplex with charm!,41.37314,2.16789,Entire home/apt,173.0
Noname - Charming 3BR+Terrace just off Gran Via,41.38306672940918,2.1551754500947617,Entire home/apt,236.0
Sunny terrace penthouse by Camp Nou Free Nespresso,41.39175721131073,2.125056260360505,Entire home/apt,266.0
"Parsifal-Front Row Seat on La Rambla,  3BR + 2bath",41.38099,2.17213,Entire home/apt,
FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,41.39086,2.18803,Entire home/apt,156.0
pb5 NICE BARCELONA QUIET & WITH TERRACE NICE FLAT,41.38839,2.15019,Entire home/apt,
Great location in El Born center Monthly rental!,41.38493,2.1809,Entire home/apt,240.0
ica BEACH AREA - GREAT LOCATION - VILA OLÍMPICA!!!,41.39383,2.19813,Entire home/apt,380.0
Gaudí views apartm with private terrace,41.40697,2.16106,Entire home/apt,202.0
Casa Tortilla Sagrada Familia,41.40466,2.17147,Entire home/apt,140.0
The Loft Barcelona,41.37195,2.16936,Entire home/apt,111.0
Casa Sagrada Familia Bcn Doubleroom,41.40843,2.17494,Private room,
Hi-Tech BEACHFRONT Apt w/ sea view!,41.38966,2.1958,Entire home/apt,220.0
Urquinaona tranquilo y céntrico,41.39076,2.17503,Entire home/apt,196.0
Central 3 bedroom beautiful APT,41.39782414629114,2.170576755958843,Entire home/apt,182.0
Small basic room in a nice shared  apt,41.37793,2.15978,Private room,59.0
SEALONA VILA OLIMPICA BEACH,41.39253234863281,2.19325590133667,Entire home/apt,266.0
lc New Quiet Apartment-Suite Ideal 1-2 people,41.3826,2.13075,Entire home/apt,140.0
Apartamento 1 habitación y balcón  en Gracia,41.39993,2.16536,Entire home/apt,186.0
3 Bd Apt in the heart of Gracia Virreina,41.40735,2.15885,Entire home/apt,187.0
COSY 3BD  APARTMENT + 2 BATH IN GRACIA VIRREINA,41.40399,2.15565,Entire home/apt,252.0
Charming apartment by  Barcelona sailing harbour,41.38512,2.17129,Private room,70.0
"Ideal Happy Location Barceloneta Beach, Old Town!",41.3764,2.19102,Entire home/apt,
Garden House - 3BR Apt with amazing Terrrace,41.39271,2.17974,Entire home/apt,299.0
"Charming penthouse, city center, with car park.",41.38184,2.15119,Entire home/apt,186.0
Great Apartment in Heart of Born,41.38422,2.18412,Entire home/apt,220.0
"Vintage Home ""El patio de Gracia""",41.40508,2.15491,Entire home/apt,287.0
"BacRou, design loft near the sea",41.40502,2.20802,Entire home/apt,152.0
stylish flat in barcelona center,41.37961,2.17306,Entire home/apt,
Beatiful Terrace in Bcn center  HUTB-OO1094,41.375553476091895,2.1625359295673867,Entire home/apt,166.0
3BR Apartment in Central Barcelona,41.37911,2.15356,Entire home/apt,256.0
"El Born, very well located in the historic center!",41.38545,2.18117,Entire home/apt,240.0
