name,latitude,longitude,room_type,price
Belém 1 Bedroom Historical Apartment,38.6975,-9.19768,Entire home/apt,87.0
Heart of Alfama - Le cœur d'Alfama (3 people),38.71241,-9.12706,Entire home/apt,92.0
Alfama Hill - Boutique apartment,38.71156,-9.12987,Entire home/apt,77.0
TheHOUSE - Your luxury home,38.71108,-9.15979,Entire home/apt,1250.0
Modern and Spacious Apartment in Lisboa,38.74571,-9.15264,Entire home/apt,96.0
Happy Season,38.76427,-9.15301,Private room,40.0
Nice Apart.BAIRRO ALTO (ADAMASTOR) 6-1º,38.71062,-9.149,Entire home/apt,93.0
Apartment for renting  in Lisbon,38.71195,-9.14463,Entire home/apt,95.0
Small House Downtown Cascais,38.69665,-9.42354,Entire home/apt,122.0
Duplex do Pipas,38.70388,-9.16546,Entire home/apt,108.0
Romantic & Renewed 1 bedroom Apartment @ Campolide,38.72727,-9.16273,Entire home/apt,88.0
Cascais  ocean view  elevator  swimming pool 4 p,38.70018,-9.43272,Entire home/apt,87.0
Charming flat with terrace in Graça,38.72092115283526,-9.128046411596074,Entire home/apt,
"Lv Premier Baixa PR1 elevator, balcony, riverview",38.7106,-9.13689,Entire home/apt,306.0
Lisbon Cottage - Principe Real,38.71299,-9.15004,Entire home/apt,131.0
Lovely apartment in Estrela,38.71879,-9.15853,Entire home/apt,
BIG 3 BD CHARM&LIGHT #greenstreet,38.70901,-9.15158,Entire home/apt,
BALCONY · Vila Berta,38.71838,-9.129015,Entire home/apt,80.0
Noite a bordo  barco Yatch Astinor,38.70065,-9.17491,Private room,360.0
Ocean View from The Sunny Flat,38.69744,-9.4391,Entire home/apt,159.0
Lapa 2Bdr with City and River Views,38.70927,-9.16122,Entire home/apt,125.0
A confortable room in a nice place,38.75643,-9.177,Private room,
Casa do Jardim,38.7127,-9.15215,Entire home/apt,104.0
Rent quarter,38.95635,-9.00327,Private room,
Historical Alfama-Pantheon Charming 1 bed flat,38.71478,-9.1241,Entire home/apt,64.0
House in Bairro Alto,38.70853,-9.14613,Entire home/apt,107.0
Private Room in City Center,38.71806,-9.13738,Private room,61.0
A pleasure in Lisbon,38.71091,-9.13251,Entire home/apt,95.0
The Oasis   Beautiful outside terrace and garden!,38.71841,-9.1233,Entire home/apt,93.0
Lisbon City Center 2 Bedroom Apt,38.71298,-9.14541,Entire home/apt,158.0
A pleasure in Lisbon 2,38.71236,-9.13129,Entire home/apt,95.0
Atalaia apartment,38.71413,-9.14425,Entire home/apt,95.0
Dear Home ★ In the Heart of Lisbon,38.71821,-9.15398,Entire home/apt,140.0
Regueira street Apartm 88 4floor Alfama - 28599/AL,38.71231,-9.12918,Entire home/apt,75.0
Gomes Freire Studio with Balcony,38.6961,-9.42215,Entire home/apt,150.0
MyPlaceLisbon - Bairro Alto Apartment,38.71261,-9.14456,Entire home/apt,120.0
Casa do Celeiro (architect/artist house),38.78666,-9.46231,Entire home/apt,200.0
"Sunny 1BR - Av. D. Carlos I, Lisbon",38.70996,-9.15206,Entire home/apt,
Refuge at the Heart of the Castle!,38.71331,-9.13314,Entire home/apt,100.0
Great apartment in Lisbon!,38.70546,-9.17579,Entire home/apt,83.0
Duplex at old typical Lisbon - Alfama,38.71112823486328,-9.129698753356934,Entire home/apt,104.0
The White House - Historical Center,38.70781,-9.1451,Entire home/apt,112.0
Meet Lisboa on your foot,38.71133,-9.13093,Entire home/apt,79.0
Duplex central Apt with river view,38.70916,-9.13222,Entire home/apt,92.0
"Quarto c/ varanda, quadrado Tercena",38.7469167,-9.2789757,Private room,25.0
Caravela - Torre Sao Rafael,38.76861,-9.09669,Entire home/apt,218.0
"Jasmim Apartment, in historic downtown!",38.71677,-9.13359,Entire home/apt,68.0
Alfama Balcony: Awesome Tagus View!,38.71095,-9.13192,Entire home/apt,205.0
Santa Catarina - City / river views,38.70997,-9.14864,Entire home/apt,116.0
Double Room - Perfect View in City Center Lisbon,38.71971,-9.14339,Private room,36.0
Ideal to work from home; close to the Airport,38.77596,-9.15101,Entire home/apt,
Central Cosy Apartment in Baixa 107,38.71095,-9.13673,Entire home/apt,206.0
Cozy central apartment with view,38.71052,-9.13365,Entire home/apt,53.0
Beguinhos: A balcony over Lisbon,38.71315,-9.12715,Entire home/apt,85.0
Lisboa alojamento de curta duração,38.74825,-9.1459,Private room,30.0
Room near the University of Lisbon,38.74877,-9.1478,Private room,22.0
"Sea View  Apartment Almocageme, Sintra",38.79286,-9.47899,Entire home/apt,
Zen Central Apartment,38.73513,-9.14904,Entire home/apt,106.0
CASA MAYA  - BEAUTIFUL STONE HOUSE,38.8917,-9.31176,Entire home/apt,40.0
Casa do Pátio,38.89195,-9.31181,Entire home/apt,113.0
Alfama - Tiny penthouse  with a river view,38.71478,-9.1241,Entire home/apt,67.0
Central Cascais Great Terrace 5 px,38.69914,-9.41998,Entire home/apt,104.0
FAMILY HOUSE - DREAM SPOT - 2207/AL,38.840667724609375,-9.46168041229248,Entire home/apt,218.0
LISBON'S PERFECT LOCATION STUDIO,38.71379,-9.13521,Entire home/apt,87.0
3min to Rossio square. Cosy & Comfy with A/c.,38.71686,-9.14014,Entire home/apt,107.0
Trendy apartment - historic center,38.71004,-9.15209,Entire home/apt,114.0
"Holiday House Lisbon, old town",38.71149,-9.15204,Entire home/apt,
Window to the river • Alfama,38.71343,-9.12557,Entire home/apt,111.0
Top Loft w/ River view in authentic Alfama,38.71081,-9.12816,Entire home/apt,107.0
"Cosy, Central & FreeWiFi BairroAlto",38.71165,-9.1463,Entire home/apt,110.0
Apartment in the center of Lisbon,38.7462,-9.15094,Private room,
Central Lisbon with Private Garden,38.71774,-9.15487,Entire home/apt,147.0
A private room in a charming place,38.71257,-9.1521,Private room,
Apartment with garden in Lisbon,38.7225,-9.15488,Entire home/apt,155.0
Spacious and family friendly villa at Lisbon coast,39.10639,-9.2355,Entire home/apt,346.0
"Luxury, best quarter free parking no cleaning fees",38.71291,-9.14234,Entire home/apt,183.0
Challet Joset I Old Fashioned House,38.69186,-9.35836,Entire home/apt,150.0
"3 Bedrooms, 3 bathrooms and terrace - Chiado",38.71001,-9.14374,Entire home/apt,266.0
BERNARDIM BROWN IN CENTRAL LISBON,38.72621,-9.14318,Entire home/apt,
BERNARDIM GREY IN CENTRAL LISBON,38.72486,-9.14329,Entire home/apt,
City Center Apt in Lively Bairro Alto!,38.71308,-9.14514,Entire home/apt,255.0
C1 Fully Renovated & Modern | Central | BICA | A/C,38.71099,-9.14829,Entire home/apt,270.0
Lovely Apartment close to the sea,38.69918,-9.43981,Entire home/apt,112.0
Central Apartment & 360º Terrace,38.7213,-9.14437,Entire home/apt,124.0
200yrs apart. - Balcony and WIFI! 2,38.72139,-9.14023,Entire home/apt,97.0
Heart of Lisbon: varanda and  A/C,38.72419,-9.1474,Entire home/apt,108.0
200yr Duplex Apartment beside garden with lake,38.72138,-9.13945,Entire home/apt,95.0
Cozy 3 Bedroom Apt in lively Bairro Alto,38.71308,-9.14514,Entire home/apt,162.0
"Bairro Alto Cute Apartment, Central",38.71279,-9.14503,Entire home/apt,82.0
Confortable & contemporary - Expo,38.7787,-9.09634,Entire home/apt,115.0
"Alfama,Lisbon--Window of the World",38.71143,-9.12778,Entire home/apt,80.0
até 4 p Alfama - Sé de Lisboa I,38.71235,-9.1275,Entire home/apt,155.0
Central - Alfama - Sé de Lisboa II,38.71252,-9.12911,Entire home/apt,125.0
LISBON HISTORICAL CITY CENTER APART,38.70989,-9.13637,Entire home/apt,165.0
Da Silva Surfcamp Areia Branca,39.27423,-9.31898,Entire home/apt,731.0
