name,latitude,longitude,room_type,price
Bright and airy room,40.40381,-3.7413,Private room,
Apartamentos Dana Sol,40.41476,-3.70418,Entire home/apt,157.0
Beautiful loft in Madrid Center,40.41259,-3.70105,Entire home/apt,
Apartasol Apartamentos Dana,40.42247,-3.70577,Entire home/apt,143.0
MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,40.41884,-3.69655,Private room,65.0
Tu hogar en centro de Madrid.,40.42381,-3.71038,Entire home/apt,
Adorable Apartment Malasaña-Gran Via,40.42252,-3.7025,Entire home/apt,116.0
"Heart of Malasaña Cozy, Quiet & Sunny Apartment",40.42252,-3.7025,Entire home/apt,79.0
Sunny attic duplex flat with terrace next to Sol,40.4115,-3.70449,Entire home/apt,300.0
"Retiro Park, Stay at cosy studio",40.42342,-3.68123,Entire home/apt,
Cool Apart. (10min Center + WIFI),40.40866,-3.70374,Entire home/apt,
Cozy attic with intimate rooftop terrace+ elevator,40.40939,-3.69812,Entire home/apt,166.0
Ático muy luminoso,40.50044,-3.67032,Entire home/apt,
Nice Single Room with wifi.,40.43422,-3.64196,Private room,
ROOM IN THE CENTER -LA LATINA- WIFI,40.41143,-3.70912,Private room,45.0
"Calm, affordable room in Madrid.",40.35761,-3.69723,Private room,24.0
Centrical loft in Madrid (Chamberi),40.43765,-3.70408,Entire home/apt,
private house B & B. Arturo Soria (Metro),40.45575,-3.64912,Private room,90.0
Habitación en ático muy céntrico con dos terrazas,40.4257,-3.70383,Private room,60.0
"Converted theatre, historic centre",40.41319,-3.7024,Private room,120.0
"FRENTE MAR, ZONA CALAS. PISCINA.",40.43201,-3.68358,Entire home/apt,
Lovely 110m2 home - Best location!,40.4152,-3.69668,Entire home/apt,160.0
Tafari Gran Via - Alquiler Temporal,40.42116,-3.70384,Entire home/apt,98.0
Private Room in a Sunny and Luxuriously Appointed Apartment,40.45959,-3.64699,Private room,68.0
Apartament Center Atocha ll,40.4131,-3.70086,Entire home/apt,117.0
Madrid City Center. Room for 1 or 2 people.,40.43595,-3.70706,Private room,
Beautiful cozy loft madrid center,40.4078,-3.70085,Entire home/apt,58.0
Apartament Center Atocha l,40.41175,-3.70021,Entire home/apt,70.0
Casa Balconies Arco Toledo - Cuchilleros St.,40.41428,-3.70767,Entire home/apt,138.0
"Apartamento céntrico, tranquilo y luminoso.",40.39627,-3.69926,Entire home/apt,100.0
"Loft ""A"" Spectacular at IFEMA, Madrid Fair",40.47189,-3.62966,Entire home/apt,288.0
Great Studio! Best Reviews!,40.42377853393555,-3.702780961990357,Entire home/apt,144.0
"LOFT ""C"" cerca de  IFEMA Madrid",40.47142,-3.62881,Entire home/apt,114.0
The Royal Palace Opera Central Apartment,40.41685,-3.70882,Entire home/apt,148.0
Beatiful downtown room with balcony,40.42683,-3.71108,Private room,
B11-Priv bathroom.,40.41849,-3.70743,Private room,139.0
Temporary Apartment in the center,40.40908377002321,-3.6951428069820658,Entire home/apt,64.0
Great apartment ∞4 rooms∞ close to City Center,40.39516,-3.69309,Entire home/apt,
2 bedroom apartament in Chueca-Fuen,40.42242,-3.69562,Entire home/apt,84.0
COZY APARTMENT MADRID MALASAÑA,40.42838,-3.70345,Entire home/apt,90.0
PRADO MUSEUM AIR & OnSiteParking (*),40.41285,-3.69553,Entire home/apt,157.0
Lovely apartment CENTRAL MADRID !,40.41015,-3.69797,Entire home/apt,95.0
Paseo Castellana Deluxe Santiago Bernabeu,40.47148,-3.68946,Entire home/apt,160.0
Entire apartment Plaza de España!,40.4249,-3.7097,Entire home/apt,
"Cozy, luminous  excellenty placed",40.40988,-3.67503,Entire home/apt,115.0
PUERTA DEL SOL-QUIET DOWNTOWN,40.41676,-3.70682,Private room,70.0
"Fantastic Location. Great apartment, Opera",40.41944,-3.70945,Entire home/apt,110.0
Great Studio for Rent in Madrid,40.41115,-3.69673,Entire home/apt,70.0
PUERTA DEL SOL l - MADRID CENTRE,40.4149,-3.70331,Entire home/apt,144.0
GRAN VIA  -  Vll -MADRID CENTRE,40.42552,-3.70589,Entire home/apt,117.0
