name,latitude,longitude,room_type,price
"Elif's room in cozy, clean flat.",41.87136,12.48215,Private room,57.0
"Charming Boschetto Studio, Rome",41.89544677734375,12.491181373596191,Entire home/apt,110.0
Casa Donatello - Home far from Home,41.92582,12.46928,Entire home/apt,124.0
S. Peter's Square 5 Min WALK bright and quite 2bdr,41.90823,12.45293,Entire home/apt,162.0
*In front Vatican Museums 2 bedrooms quite bright*,41.90828323364258,12.452616691589355,Entire home/apt,150.0
DormiRoma - Cedro 1 Apartment - Trastevere,41.88992,12.46823,Entire home/apt,195.0
DormiRoma - Cedro 4 Apartment - Trastevere,41.88992,12.46823,Entire home/apt,245.0
Vintage Suite w/ Private Bath by Esquiline Suites,41.89294,12.50581,Private room,95.0
Double with breakfast Vatican zone,41.91029,12.44703,Private room,
PRETTY FLAT IN TRASTEVERE,41.89084,12.46804,Entire home/apt,136.0
Wonderful loft in Rome Pigneto,41.89078,12.52634,Entire home/apt,69.0
Perfect place apt 4 “Super Central” piazza navona,41.89416,12.47069,Entire home/apt,131.0
Anita Arte Roma B&B,41.90346,12.50448,Entire home/apt,110.0
"Panoramic ""studio"" in Rome",41.89726,12.47866,Entire home/apt,152.0
"Campo dei Fiori Attic, Regola",41.89400863647461,12.47263526916504,Entire home/apt,300.0
La Palmetta - Appia Antica Archaeological Park,41.8692512512207,12.52786636352539,Entire home/apt,90.0
Coronari Apartment 1 with terrace,41.8999343818594,12.471209368781947,Entire home/apt,308.0
Laura's Brother terrace in Rome,41.87727,12.51527,Entire home/apt,79.0
Gala B&B Rome Oro Suite  max 2 Pax,41.85941,12.55918,Private room,
Rome center home -Termini Colosseo apartment,41.897308,12.504276,Entire home/apt,165.0
La casa di Roby,41.91254,12.4127,Entire home/apt,
The art home in Monti - near Colosseum,41.89556,12.49303,Entire home/apt,111.0
Special price Vaticano,41.89585,12.44835,Entire home/apt,171.0
"Perfect place campo dei fiori 2 ""Super central""",41.89513,12.47405,Entire home/apt,141.0
"Colosseum View (Metro, Fast Wi-Fi, AC, kitchen)",41.89057,12.4966,Entire home/apt,144.0
ROMAC Baullari - 5 bedrooms - in Campo de Fiori,41.8965,12.47288,Entire home/apt,816.0
ROMAC Baullari II w/4 bedrooms near Campo de Fiori,41.8965,12.47288,Entire home/apt,593.0
"Sleep in Campo de Fiori,  Roma",41.89749,12.46995,Private room,400.0
The Historic Nobleman's Penthouse - 3 bedrooms,41.8857,12.47611,Entire home/apt,512.0
Simon's Suite - The Heart of Rome,41.90554,12.49993,Entire home/apt,90.0
Colosseum Flat - Early Booking Rate,41.88682,12.49815,Entire home/apt,207.0
'Il Triopio' Resort & Events,41.8363,12.54239,Private room,124.0
"Casa Trevi and Spanish Steps n.3, Rome",41.90175,12.48465,Entire home/apt,225.0
CASA TREVI GARDEN N. 2,41.90282,12.48644,Entire home/apt,143.0
"Casa Trevi Garden n. 1, Rome",41.9014,12.48444,Entire home/apt,251.0
"Casa in Trastevere botanical Garden  n. 1, Rome",41.89335,12.46627,Entire home/apt,225.0
"Trastevere in the heart of Rome n. 2, Rome",41.89178,12.46977,Entire home/apt,226.0
b&b128roma,41.89786,12.50514,Private room,100.0
B&B128Roma - PARIS ROOM,41.89651,12.50597,Private room,100.0
B&B128Roma - NEW YORK ROOM,41.89737,12.50571,Private room,120.0
B&B128Roma - London room,41.89783,12.50608,Private room,118.0
B&B128Roma - BALI ROOM,41.89631,12.50584,Private room,110.0
Attico Triremi with terrace and sea view in Ostia!,41.73548,12.2654,Entire home/apt,122.0
La Casa al Portico il loft a Roma.,41.89287,12.47807,Entire home/apt,
"San Pietro Holiday House ""CasaRiz""",41.90149,12.44437,Entire home/apt,225.0
Attic San Giovanni with terrace,41.88156,12.50437,Entire home/apt,
Maison di Biancaneve,41.93816,12.52919,Entire home/apt,72.0
Domus Trastevere elegant apartment near Trastevere,41.87321,12.46756,Entire home/apt,110.0
CASA BELLA 10 minutes downtown WIFI Included,41.83741,12.46306,Private room,
Camera matrimoniale a La Canfora,41.94537,12.4401,Private room,108.0
Trastevere color-suite,41.88862,12.47607,Entire home/apt,148.0
"Sunny with view, WiFi, A/C. Metro, Airport train.",41.88008,12.52006,Entire home/apt,107.0
Modern Comfort near the Vatican,41.89984,12.45392,Entire home/apt,311.0
Two independent and joined apartments,41.89674,12.4728,Entire home/apt,300.0
The Other Moon at Termini station,41.89521,12.50603,Private room,90.0
Ancient Trastevere rooms: THE SUITE,41.89514,12.46542,Private room,101.0
Ancient Trastevere rooms: THE LOFT,41.89333,12.46665,Private room,104.0
Deliziosa stanza a due passi dal Papa,41.89838,12.44971,Private room,72.0
LOVELY ACCOMMODATION CLOSE TO NAVONA SQUARE !!,41.89991,12.47005,Entire home/apt,163.0
Near Vatican museum 8 minutes to Piazza di Spagna,41.91162,12.44975,Entire home/apt,134.0
Charmant apartment inCampo de Fiori,41.89659,12.47212,Entire home/apt,190.0
Sixtythree bb - double ensuite,41.89876,12.5047,Hotel room,
Moai Home - B&B Design at Rome,41.929941,12.523541,Entire home/apt,400.0
Lovely flat Appio San Giovanni,41.87638,12.52429,Entire home/apt,59.0
Charming Ponte Sisto's house,41.89354,12.47148,Entire home/apt,149.0
Superb penthouse /panoramic terrace,41.88998,12.46899,Entire home/apt,
Lovely B&B in lively Trastevere,41.89134,12.46861,Hotel room,82.0
Penthouse with views over Rome,41.93779,12.44061,Entire home/apt,104.0
Trastevere stylish two bedrooms apartment.,41.88377,12.46612,Entire home/apt,140.0
Il Casale dell'Ara delle Rose,42.03037,12.45092,Entire home/apt,250.0
The Angels of the Mysterious Home,41.90913856322778,12.45989990234377,Entire home/apt,128.0
"Apartment in Campo de' Fiori, Rome",41.89641,12.47182,Entire home/apt,238.0
Appartamento al Pantheon con vista,41.89862,12.47523,Entire home/apt,258.0
Bright & cozy double room in Rome,41.85784,12.55764,Private room,26.0
Casa Vacanze Roma Colosseo WiFi Sat,41.88959,12.50007,Entire home/apt,440.0
Kiara Trastevere (Stella room),41.88677,12.46899,Private room,120.0
Ripa Terrace Flat in Trastevere,41.88757,12.47159,Entire home/apt,296.0
App. con terrazza vista Pantheon,41.89733,12.47521,Entire home/apt,228.0
DormiRoma - Cedro 2 Apartment - Trastevere,41.88992,12.4682,Entire home/apt,245.0
BED AND BREAKFAST THE FLOWER ROMA,41.90905,12.45135,Private room,123.0
Relax close to Trastevere: cool & confy apt,41.87322235107422,12.449987411499023,Entire home/apt,70.0
Vista panoramica su Roma,41.8759,12.48786,Entire home/apt,72.0
"Next to the Vaticano, Metro, wi fi",41.90762,12.45582,Entire home/apt,190.0
Appartamento vicino a San Pietro - ATR-009313-4,41.90862,12.45993,Private room,342.0
DormiRoma - Cedro 3 Apartment - Trastevere,41.88992,12.46823,Entire home/apt,157.0
Close to St. Peter's Basilica  Le antiche Fornaci,41.89689,12.45695,Entire home/apt,177.0
"2 steps Vatican&Colosseum, Your Home in Rome",41.87906,12.45054,Entire home/apt,101.0
Anna Home at Roman Forum,41.89484,12.48758,Entire home/apt,
Casa Pariolina - Suite The Romantic,41.92239,12.487604,Entire home/apt,140.0
Casa Pariolina-Suite Villa Borghese,41.92239,12.487604,Entire home/apt,162.0
Beautiful countryside villa - Rome,42.05745,12.48699,Entire home/apt,95.0
